day,start_time,end_time,course_code,subject
Monday,08:30,09:20,AD23501,OT
Monday,09:20,10:10,AD23501,OT
Monday,10:30,11:20,AD23502,MLM LAB
Monday,11:20,12:10,AD23502,MLM LAB
Monday,13:10,14:00,FREE,FREE
Monday,14:00,14:50,FREE,FREE
Monday,14:50,15:40,FREE,FREE
Monday,15:40,16:30,AUDITCOURSE,AUDITCOURSE
Tuesday,08:30,09:20,AD23501,OT
Tuesday,09:20,10:10,AD23501,OT
Tuesday,10:30,11:20,UC23E01,EED
Tuesday,11:20,12:10,UC23E01,EED
Tuesday,13:10,14:00,AD23504,BDA
Tuesday,14:00,14:50,FREE,FREE
Tuesday,14:50,15:40,FREE,FREE
Tuesday,15:40,16:30,FREE,FREE
Wednesday,08:30,09:20,AD23504,BDA LAB
Wednesday,09:20,10:10,AD23504,BDA LAB
Wednesday,10:30,11:20,AD23503,AI
Wednesday,11:20,12:10,AD23503,AI
Wednesday,13:10,14:00,AD23010,ADS
Wednesday,14:00,14:50,AD23502,MLM
Wednesday,14:50,15:40,AD23505,SOP
Wednesday,15:40,16:30,AD23505,SOP
Thursday,08:30,09:20,UC23E01,EED
Thursday,09:20,10:10,UC23E01,EED
Thursday,10:30,11:20,AD23504,BDA
Thursday,11:20,12:10,AD23504,BDA
Thursday,13:10,14:00,AD23503,AI
Thursday,14:00,14:50,AD23503,AI LAB
Thursday,14:50,15:40,AD23503,AI LAB
Thursday,15:40,16:30,FREE,FREE
Friday,08:30,09:20,AD23010,ADS
Friday,09:20,10:10,AD23010,ADS
Friday,10:30,11:20,AD23502,MLM
Friday,11:20,12:10,AD23502,MLM
Friday,13:10,14:00,NM,NM
Friday,14:00,14:50,NM,NM
Friday,14:50,15:40,NM,NM
Friday,15:40,16:30,FREE,FREE
